new_group_id	new_seg_id	net	x1	y1	x2	y2	source_count	source_segments
21	1	vdd	-17.0625	0.25	-17.0625	1.125	2	22:1,21:1
23	1	vdd	-18.9375	0.6875	-18.9375	1.125	2	25:1,24:1
25	1	vdd	-20.125	0.6875	-20.125	1.125	2	28:1,27:1
27	1	vdd	-14.875	-0.6875	-14.875	1.125	2	31:1,30:1
28	1	vdd	-16.125	-0.6875	-16.125	1.125	2	33:1,32:1
129	1	vdd	-6.375	-0.6875	-6.375	1.125	2	134:1,139:1
209	1	vss	-15.5	-4.625	-15.5	-4.1875	2	215:1,216:1
210	1	vss	-16.125	-4.625	-16.125	-2.625	2	217:1,218:1
257	1	vss	-6.375	-4.625	-6.375	-3.9375	2	265:1,267:1
279	1	vss	-12.625	-4.625	-12.625	-4.0625	2	288:1,291:1
440	1	net5	-8.25	-0.875	-8.25	0.625	3	450:1,459:1,452:1
462	1	EN_p	-15.5	1.9375	-14.875	1.9375	2	475:1,474:1
